metric,model,shapiro_W,shapiro_p,n
accuracy,Ministral-14B-2512,0.767286253859879,0.04269256496892651,5
accuracy,GPT-OSS-120B,0.8134254929936258,0.10378301655097716,5
accuracy,Gemini-2.5-Flash,0.8421511058692126,0.1709562328176168,5
accuracy,Mistral-Large-Instruct-2411,0.9417937871223624,0.6786468458522463,5
accuracy,Mistral Medium 3.1,0.9503817207594595,0.7399154416596275,5
accuracy,GPT-4o (2024-11-20),0.9642528495339673,0.8372419334292345,5
accuracy,Gemma-3-12B,0.9837422572260917,0.9535916475835642,5
accuracy,GPT-OSS-20B,0.9898477438587666,0.9791583687745262,5
accuracy,DeepSeek-V3.1,0.9899435513810287,0.979496378893043,5
f1Score,Gemini-2.5-Flash,0.866948623166284,0.2542866168746569,5
f1Score,Ministral-14B-2512,0.8676096193696349,0.25687887345616117,5
f1Score,GPT-OSS-120B,0.8803882803774149,0.3110742011348196,5
f1Score,Gemma-3-12B,0.922598417174517,0.5468392665570305,5
f1Score,Mistral Medium 3.1,0.9569894487782138,0.786879616025751,5
f1Score,DeepSeek-V3.1,0.9634593380947791,0.8318430626965676,5
f1Score,Mistral-Large-Instruct-2411,0.9788655644323743,0.9284603779317528,5
f1Score,GPT-4o (2024-11-20),0.9864072945788243,0.9656672778997211,5
f1Score,GPT-OSS-20B,0.9879935484184365,0.9722034611489065,5
precision,Gemma-3-12B,0.6944185734932726,0.008364497024395375,5
precision,Mistral Medium 3.1,0.8541619539675591,0.20803589523328603,5
precision,Gemini-2.5-Flash,0.8561487905143426,0.21474823240130042,5
precision,GPT-OSS-120B,0.8746111722955231,0.28560064710801986,5
precision,GPT-4o (2024-11-20),0.8823945429514519,0.3203031169886379,5
precision,Ministral-14B-2512,0.8901293032607331,0.35775379228449133,5
precision,GPT-OSS-20B,0.8904401752881255,0.35932141333620626,5
precision,Mistral-Large-Instruct-2411,0.9423992363729804,0.6829471350120512,5
precision,DeepSeek-V3.1,0.9692003071082366,0.8700965832096208,5
recall,Mistral-Large-Instruct-2411,0.8448154223510563,0.17867891766226252,5
recall,DeepSeek-V3.1,0.8691054712886452,0.2628204901434909,5
recall,GPT-4o (2024-11-20),0.8749013926994083,0.2868416714106389,5
recall,Ministral-14B-2512,0.8939244932314421,0.3772224660924273,5
recall,Mistral Medium 3.1,0.8967237686455197,0.3920436482271451,5
recall,GPT-OSS-120B,0.919156336579534,0.5245117649993511,5
recall,GPT-OSS-20B,0.9626784938223094,0.8265011957857011,5
recall,Gemini-2.5-Flash,0.9787161500642199,0.9276364233495428,5
recall,Gemma-3-12B,0.9807029102610945,0.9383445613800602,5
